Id	subspeices	CV1	CV2	CV3	CV4	CV5
0	A	3.6493989832542946	-0.38783350280361406	-0.7826560563812716	-0.9751051236077479	1.6198988397588572
1	A	1.27121565015496	-0.3912386742145567	-1.0879711576441244	-0.6388060323570558	0.4304719761380996
2	A	3.8466414141098704	-0.738874998742215	0.4350891456872099	-0.43964133427347396	1.877900180450485
3	A	4.324659437020083	-0.04667187501872738	-0.5463942031154613	-0.6555457321138496	2.38709661684358
4	A	4.387200111926573	-0.4902613786396133	0.02721648413726339	0.9449638967073204	0.9658498805875789
5	A	2.745474965685296	-1.3405621484187087	0.9619715002596368	-0.5058084967277892	-1.2642487447220359
6	A	2.5317087638630538	0.15472425231409476	0.38271277043366536	-1.695910414218397	-0.8666701964022494
7	A	1.576359168429426	0.8878129195011192	0.4568123205060306	-0.5585968465725405	-0.07982052432336702
8	A	2.3262253566378335	-1.225568877251209	-1.5158940688721239	0.49965916214147266	-1.750086638885838
9	A	4.196073435063835	-0.02981732932597536	-0.12432208087558205	-2.095757688041744	1.4688751856027769
10	A	4.174727246889655	0.30033671982508453	-0.579357697756699	-0.6664239741864343	-0.0693898474715014
11	A	4.749083445585174	0.044826497412410515	0.2738483425918667	1.427280980834113	1.192374210014792
12	A	2.674357518191777	1.168093556959602	-0.30150700403115904	0.3471239661370361	0.4095438581125059
13	A	0.9982163918499044	-1.5445536514732396	-1.3209413183010346	-1.1312729194115974	0.18309233857992674
14	A	1.0884130923392832	-2.4413208962020922	1.4993271392200855	0.23168345882020416	0.18655033524468054
15	A	5.554181144804699	-1.655598686538514	0.06790317410144125	0.47994670664971495	1.1614145671721514
16	A	4.664768594305439	-0.5308906657960548	-0.11012744500892295	-0.03001029139339567	0.4953149495258877
17	A	2.145702110158315	1.0327745530295918	0.13378395351235053	-0.9225465158116543	0.7552978525023945
18	A	3.752167886342561	1.2914655532853803	0.885617518771027	-1.5700489987364215	0.64529427079652
19	A	3.1271564744508575	-1.3805294795362837	-1.2569896110106347	-0.09931475686398307	0.11512783475779037
0	D	-0.5845517398964036	2.0034102498965436	-0.461078235913049	-0.702140701007343	-0.41326809585636076
1	D	0.6444444341013845	0.7485690043933824	-2.2806007460914715	1.0493549060640959	1.1398540925743357
2	D	0.08026610901263412	0.9506157681310281	-0.4494778524828377	-1.0039225501312654	-0.255284690824484
3	D	0.8365864406332413	1.7513062870691538	-2.715127142042591	-2.3787025858511726	-2.9386497153536886
4	D	1.2713638527311553	0.8553223904417009	-2.487265510238566	0.4435029726791835	-0.2622876210478208
5	D	0.5565030641199855	2.622791402515765	-1.9001048849151814	0.4300400172828791	-1.940455085176792
6	D	0.7754970374949419	2.0715625249848273	-0.28604604077478335	-0.6634969376446205	-0.3245959191841156
7	D	-0.4238307368466472	1.8674894784021598	-2.7769016533228403	-0.7287098075479552	-3.1000270351397092
